"COLUMN A: Year","COLUMN B: Month","COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0","COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15","COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat","COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15","COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90","COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0","COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15","COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat","COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15","COLUMN L: 2-Axis Tracking Flat-Plate Collector","COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis","COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis","COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat","COLUMN P: 2-Axis Tracking Concentrating Collector"
61, 1, 3.4, 5.0, 5.9, 6.4, 6.0, 5.4, 6.6, 7.3, 7.7, 7.8, 5.5, 4.4, 6.2, 6.6
61, 2, 4.2, 5.7, 6.4, 6.7, 5.7, 6.8, 7.8, 8.3, 8.6, 8.6, 5.5, 5.5, 6.9, 7.1
61, 3, 5.2, 6.1, 6.4, 6.4, 4.8, 7.6, 8.3, 8.6, 8.6, 8.6, 4.8, 5.8, 6.5, 6.6
61, 4, 6.8, 7.3, 7.2, 6.7, 3.7,10.2,10.6,10.5,10.2,10.6, 6.0, 8.3, 8.6, 8.7
61, 5, 7.6, 7.5, 7.0, 6.2, 2.7,10.8,10.9,10.6,10.0,11.1, 6.4, 8.8, 8.5, 9.0
61, 6, 7.6, 7.3, 6.6, 5.7, 2.2,10.6,10.6,10.1, 9.5,10.8, 6.2, 8.4, 7.9, 8.6
61, 7, 6.4, 6.2, 5.8, 5.0, 2.2, 8.8, 8.7, 8.4, 7.9, 8.9, 4.5, 6.2, 5.9, 6.3
61, 8, 5.4, 5.6, 5.4, 4.9, 2.6, 7.4, 7.6, 7.4, 7.1, 7.6, 3.4, 4.7, 4.7, 4.9
61, 9, 5.6, 6.3, 6.5, 6.2, 4.0, 8.2, 8.8, 8.9, 8.7, 8.9, 5.0, 6.4, 7.0, 7.0
61,10, 4.7, 5.9, 6.4, 6.6, 5.1, 7.3, 8.1, 8.5, 8.6, 8.6, 5.4, 6.0, 7.1, 7.2
61,11, 3.3, 4.5, 5.2, 5.6, 5.1, 5.1, 6.0, 6.5, 6.8, 6.8, 4.4, 3.9, 5.1, 5.4
61,12, 2.9, 4.3, 5.0, 5.6, 5.4, 4.5, 5.5, 6.2, 6.6, 6.7, 4.2, 3.2, 4.6, 5.0
62, 1, 3.2, 4.7, 5.5, 6.0, 5.7, 5.1, 6.2, 6.8, 7.2, 7.3, 4.7, 3.8, 5.3, 5.6
62, 2, 3.5, 4.4, 4.9, 5.2, 4.7, 5.1, 5.8, 6.2, 6.4, 6.4, 3.3, 3.3, 4.1, 4.3
62, 3, 5.3, 6.2, 6.6, 6.6, 5.2, 7.8, 8.6, 8.8, 8.9, 8.8, 4.6, 5.7, 6.4, 6.4
62, 4, 6.8, 7.3, 7.2, 6.7, 3.7, 9.9,10.4,10.3, 9.9,10.4, 5.9, 8.0, 8.3, 8.4
62, 5, 7.4, 7.4, 6.9, 6.1, 2.7,10.5,10.6,10.3, 9.7,10.7, 6.1, 8.4, 8.1, 8.6
62, 6, 7.9, 7.6, 6.8, 5.8, 2.2,11.2,11.1,10.7,10.0,11.4, 6.8, 9.2, 8.7, 9.4
62, 7, 6.6, 6.5, 6.0, 5.2, 2.2, 9.1, 9.1, 8.8, 8.3, 9.3, 4.9, 6.7, 6.3, 6.8
62, 8, 6.3, 6.6, 6.3, 5.8, 2.9, 9.0, 9.2, 9.1, 8.7, 9.3, 5.1, 6.9, 7.0, 7.2
62, 9, 5.1, 5.7, 5.8, 5.5, 3.5, 7.3, 7.8, 7.9, 7.7, 7.9, 4.2, 5.5, 5.9, 6.0
62,10, 4.8, 6.1, 6.6, 6.8, 5.3, 7.5, 8.4, 8.8, 8.9, 8.9, 5.7, 6.3, 7.6, 7.6
62,11, 3.3, 4.7, 5.4, 5.8, 5.1, 5.3, 6.3, 6.8, 7.1, 7.1, 4.8, 4.3, 5.6, 5.9
62,12, 3.0, 4.6, 5.5, 6.1, 5.8, 5.0, 6.2, 6.9, 7.3, 7.5, 5.4, 4.2, 5.9, 6.4
63, 1, 3.3, 4.9, 5.8, 6.3, 6.1, 5.4, 6.6, 7.3, 7.7, 7.8, 5.3, 4.4, 6.0, 6.4
63, 2, 4.1, 5.4, 6.0, 6.3, 5.4, 6.3, 7.3, 7.8, 8.0, 8.0, 5.0, 4.9, 6.2, 6.4
63, 3, 5.1, 5.9, 6.2, 6.2, 4.4, 7.3, 8.0, 8.3, 8.2, 8.3, 4.7, 5.6, 6.4, 6.4
63, 4, 6.0, 6.4, 6.3, 5.9, 3.4, 8.5, 8.9, 8.8, 8.5, 8.9, 4.6, 6.3, 6.5, 6.6
63, 5, 7.5, 7.5, 7.0, 6.2, 2.7,10.6,10.7,10.4, 9.8,10.8, 6.3, 8.5, 8.3, 8.7
